name;year;selling_price;km_driven;fuel;seller_type;transmission;owner
Maruti 800 AC;2007;40000;70000;Petrol;Individual;Manual;First Owner
Maruti Wagon R LXI Minor;2007;40000;50000;Petrol;Individual;Manual;First Owner
Datsun RediGO T Option;2017;40000;46000;Petrol;Individual;Manual;First Owner
Maruti Alto LX BSIII;2007;40000;125000;Petrol;Individual;Manual;First Owner
Tata Indigo Grand Petrol;2014;40000;60000;Petrol;Individual;Manual;Second Owner
Chevrolet Sail 1.2 Base;2015;40000;35000;Petrol;Individual;Manual;First Owner
Maruti Alto LXi;2009;50000;100000;Petrol;Individual;Manual;First Owner
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII;2010;50000;350000;Diesel;Individual;Manual;Second Owner
Hyundai EON Magna Plus;2018;50000;31000;Petrol;Individual;Manual;First Owner
Tata Indigo Classic Dicor;2007;50000;39000;Diesel;Individual;Manual;First Owner
Tata Indica Vista Quadrajet LS;2014;50000;166000;Diesel;Individual;Manual;Fourth & Above Owner
Maruti Swift 1.3 VXi;2006;50000;110000;Petrol;Individual;Manual;Third Owner
Honda Civic 1.8 V AT;2007;50000;54000;Petrol;Individual;Automatic;Second Owner
Hyundai i10 Sportz 1.2;2010;50000;63000;Petrol;Individual;Manual;Second Owner
Hyundai Getz GLS;2005;50000;120000;Petrol;Individual;Manual;Third Owner
Hyundai Santro Xing XO;2007;50000;58000;Petrol;Dealer;Manual;Second Owner
Datsun RediGO 1.0 S;2017;50000;15000;Petrol;Dealer;Manual;Second Owner
Honda Civic 1.8 V AT;2009;50000;63500;Petrol;Dealer;Automatic;First Owner
Maruti SX4 Zxi BSIII;2008;50000;29173;Petrol;Dealer;Manual;First Owner
Mahindra Quanto C8;2012;60000;140000;Diesel;Individual;Manual;Second Owner
Hyundai EON Magna Plus;2012;60000;60000;Petrol;Individual;Manual;First Owner
Renault KWID RXT;2016;60000;25000;Petrol;Individual;Manual;First Owner
Maruti Wagon R DUO LPG;2014;60000;90000;LPG;Individual;Manual;First Owner
Maruti Wagon R LXI;2020;60000;120000;Petrol;Individual;Manual;First Owner
Chevrolet Enjoy 1.3 TCDi LS 8;2015;60000;175000;Diesel;Individual;Manual;First Owner
