name;year;selling_price;km_driven;fuel;seller_type;transmission;owner
Maruti 800 AC;2007;60000;70000;Petrol;Individual;Manual;First Owner
Maruti Wagon R LXI Minor;2007;135000;50000;Petrol;Individual;Manual;First Owner
Datsun RediGO T Option;2017;250000;46000;Petrol;Individual;Manual;First Owner
Maruti Alto LX BSIII;2007;140000;125000;Petrol;Individual;Manual;First Owner
Tata Indigo Grand Petrol;2014;240000;60000;Petrol;Individual;Manual;Second Owner
Chevrolet Sail 1.2 Base;2015;260000;35000;Petrol;Individual;Manual;First Owner
Tata Indigo Grand Petrol;2014;250000;100000;Petrol;Individual;Manual;First Owner
Maruti 800 AC;2007;60000;70000;Petrol;Individual;Manual;First Owner
Maruti Wagon R LXI Minor;2007;135000;50000;Petrol;Individual;Manual;First Owner
Datsun RediGO T Option;2017;250000;46000;Petrol;Individual;Manual;First Owner
Maruti Alto LX BSIII;2007;140000;125000;Petrol;Individual;Manual;First Owner
Tata Indigo Grand Petrol;2014;240000;60000;Petrol;Individual;Manual;Second Owner
Chevrolet Sail 1.2 Base;2015;260000;35000;Petrol;Individual;Manual;First Owner
Tata Indigo Grand Petrol;2014;250000;100000;Petrol;Individual;Manual;First Owner
Hyundai i10 Magna 1.1L;2014;229999;60000;Petrol;Individual;Manual;Fourth & Above Owner
Maruti Wagon R VXI BS IV with ABS;2014;290000;64000;Petrol;Individual;Manual;Second Owner
Maruti Wagon R VXI BS IV;2012;275000;60000;Petrol;Individual;Manual;Second Owner
Hyundai Santro Xing GLS;2009;150000;79000;Petrol;Individual;Manual;Third Owner
Maruti Alto LXi;2006;100000;80000;Petrol;Individual;Manual;First Owner
Maruti Alto LXi;2012;160000;60000;Petrol;Individual;Manual;Second Owner
Mahindra Jeep CL 500 MDI;1996;250000;35000;Diesel;Individual;Manual;Second Owner
Maruti Wagon R VXI BS IV;2013;300000;80000;Petrol;Dealer;Manual;First Owner
Tata Indica DLS;2005;70000;80000;Diesel;Individual;Manual;First Owner
Hyundai EON Magna Plus;2014;240000;73300;Petrol;Dealer;Manual;Second Owner
Maruti Alto LXi;2009;151000;66764;Petrol;Dealer;Manual;Second Owner
Maruti Alto LXi;2009;140000;100000;Petrol;Individual;Manual;First Owner
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII;2010;280000;350000;Diesel;Individual;Manual;Second Owner
Hyundai EON Magna Plus;2018;300000;31000;Petrol;Individual;Manual;First Owner
Tata Indigo Classic Dicor;2007;100000;39000;Diesel;Individual;Manual;First Owner
Tata Indica Vista Quadrajet LS;2014;125000;166000;Diesel;Individual;Manual;Fourth & Above Owner
Maruti Swift 1.3 VXi;2006;130000;110000;Petrol;Individual;Manual;Third Owner
Honda Civic 1.8 V AT;2007;200000;54000;Petrol;Individual;Automatic;Second Owner
Hyundai i10 Sportz 1.2;2010;248000;63000;Petrol;Individual;Manual;Second Owner
Hyundai Getz GLS;2005;80000;120000;Petrol;Individual;Manual;Third Owner
Hyundai Santro Xing XO;2007;80000;58000;Petrol;Dealer;Manual;Second Owner
Datsun RediGO 1.0 S;2017;210000;15000;Petrol;Dealer;Manual;Second Owner
Honda Civic 1.8 V AT;2009;210000;63500;Petrol;Dealer;Automatic;First Owner
Maruti SX4 Zxi BSIII;2008;175000;29173;Petrol;Dealer;Manual;First Owner
Maruti Wagon R LXI Minor;2010;100000;60000;Petrol;Individual;Manual;Fourth & Above Owner
Maruti SX4 ZXI MT BSIV;2011;250000;110000;Petrol;Individual;Manual;Third Owner
Maruti SX4 Vxi BSIII;2007;120000;90000;Petrol;Individual;Manual;Second Owner
Chevrolet Beat Diesel;2013;165000;60000;Diesel;Individual;Manual;Second Owner
Maruti Zen LX;2004;95000;50000;Petrol;Individual;Manual;First Owner
Maruti Swift Vdi BSIII;2007;100000;110000;Diesel;Individual;Manual;Fourth & Above Owner
Tata Nano Lx BSIV;2012;100000;50000;Petrol;Individual;Manual;Second Owner
Tata Indica Vista Aqua 1.4 TDI;2010;125000;81000;Diesel;Individual;Manual;Second Owner
Hyundai i10 Sportz 1.1L;2015;229999;40000;Petrol;Individual;Manual;First Owner
Maruti 800 Std;1998;40000;40000;Petrol;Individual;Manual;Fourth & Above Owner
Chevrolet Spark 1.0 LS;2012;130000;80000;Petrol;Individual;Manual;First Owner
Hyundai EON Era Plus;2015;200000;70000;Petrol;Individual;Manual;First Owner
Tata Indica Vista Aqua TDI BSIII;2011;120000;70000;Diesel;Individual;Manual;First Owner
Hyundai Santro LP zipPlus;2003;75000;57000;Petrol;Individual;Manual;First Owner
Tata Bolt Quadrajet XE;2016;250000;120000;Diesel;Individual;Manual;First Owner
Maruti 800 AC BSIII;2005;100000;30000;Petrol;Individual;Manual;First Owner
Hyundai EON Era Plus;2013;280000;3240;Petrol;Individual;Manual;Second Owner
Hyundai Santro LE;2002;65000;70000;Petrol;Individual;Manual;First Owner
Hyundai Santro Xing XL eRLX Euro III;2007;75000;114000;Petrol;Individual;Manual;Second Owner
Hyundai Getz 1.3 GLS;2008;210000;53772;Petrol;Individual;Manual;First Owner
Mahindra Quanto C8;2012;195000;140000;Diesel;Individual;Manual;Second Owner
Hyundai EON Magna Plus;2012;170000;60000;Petrol;Individual;Manual;First Owner
Renault KWID RXT;2016;225000;25000;Petrol;Individual;Manual;First Owner
Maruti Wagon R DUO LPG;2014;210000;90000;LPG;Individual;Manual;First Owner
